Epoch,Train_Loss,Val_Loss
1,0.0077721658204275255,0.009448559954762459
2,0.002774926795446345,0.0019284384325146675
3,0.0012099732185602945,0.0009267952991649508
4,0.0009506445807611714,0.0008835461339913309
5,0.0008772622299713925,0.0008757819887250662
6,0.0008250585391734553,0.0010738139972090721
7,0.0007625584282055961,0.0009487334173172712
8,0.0007092082770205579,0.0006471634260378778
9,0.0006726705164692915,0.0005646119825541973
10,0.0006421545310131754,0.0005547423497773707
11,0.0006167807544144898,0.0004886417300440371
12,0.0006021463826130626,0.00048632093239575624
13,0.0005908517324206323,0.00047679877025075257
14,0.0005838281397404829,0.00046793409273959696
15,0.0005752498249877794,0.0004568310687318444
16,0.0005678742583552104,0.0004969403962604702
17,0.0005636307322330443,0.0004968738649040461
18,0.0005565415378765655,0.00047245415044017136
19,0.0005531720135085555,0.00043434000690467656
20,0.0005447414832285469,0.00046238003415055573
21,0.0005418773538090881,0.00043168605770915747
22,0.0005433472205325333,0.000468523649033159
23,0.0005441474113630382,0.0005262224585749209
24,0.0005386112010769246,0.0004773405089508742
25,0.0005374013430811304,0.00047169221215881407
26,0.000527490195028689,0.00044534323387779295
