Date,Actual,LGBM_Pred,LGBM_Lower_90,LGBM_Upper_90
2025-05-18 13:00:00,13890.0,13757.685594929113,13593.930113692571,13989.253151201803
2025-05-18 14:00:00,14130.0,13993.266851231157,13650.78473435751,14238.617229593894
2025-05-18 15:00:00,14020.0,13964.49269824855,13836.285764984954,14180.938318318604
2025-05-18 16:00:00,13735.0,13834.108127246911,13515.49517494208,13911.286872272734
2025-05-18 17:00:00,12980.0,13493.512071922913,13158.517373491502,13774.959071263907
2025-05-18 18:00:00,14545.0,14184.452790563935,13747.966878981673,14723.505754064934
2025-05-18 19:00:00,14650.0,14597.296188229226,14317.759909322094,14802.712611514726
2025-05-18 20:00:00,14310.0,14625.149635214604,14354.708763916547,14934.444304003648
2025-05-18 21:00:00,14030.0,13961.562199138958,13857.713573099365,14406.212402646435
2025-05-18 22:00:00,13700.0,13713.042999803196,13422.104096916026,14123.858911528041
2025-05-18 23:00:00,13630.0,13350.26072614974,13093.156180477556,13598.73848279922
2025-05-19 00:00:00,13430.0,13223.407566550157,12926.20858089107,13461.808011661333
2025-05-19 01:00:00,13080.0,13026.771494075374,12705.674746161347,13217.962845306596
2025-05-19 02:00:00,12780.0,12761.662270978386,12497.684613991603,13024.98672741615
2025-05-19 03:00:00,12520.0,12394.594316317378,12114.168997149254,12693.44656744356
2025-05-19 04:00:00,12160.0,12179.765288470293,11805.946131836263,12436.93946154655
2025-05-19 05:00:00,11770.0,11578.769546698068,11291.020772473343,11987.872899726899
2025-05-19 06:00:00,11785.0,11633.726685577769,11259.643116141622,11801.555815681893
2025-05-19 07:00:00,11760.0,11814.69329904483,11523.870169878384,11997.81774979446
2025-05-19 08:00:00,11760.0,11977.238523775768,11632.031904413132,12240.81460788026
2025-05-19 09:00:00,12380.0,12042.898743533728,11686.079889144072,12280.236072226593
2025-05-19 10:00:00,12830.0,12725.539628217455,12423.923972305178,12977.825044390918
2025-05-19 11:00:00,13120.0,13162.805890494184,12809.465988493057,13397.958081725666
2025-05-19 12:00:00,13050.0,13460.3323358233,13141.183583540798,13730.235295322833
2025-05-19 13:00:00,12860.0,13182.312084630115,12871.433568373908,13438.376327622953
2025-05-19 14:00:00,13030.0,13144.554281831695,12720.848251438167,13352.02629920488
2025-05-19 15:00:00,13100.0,13047.722398458865,12678.537671440003,13314.233570726597
2025-05-19 16:00:00,12830.0,12940.77982567833,12656.28140212561,13183.900687729772
2025-05-19 17:00:00,12640.0,12668.596269880027,12253.611925330157,12920.1603000984
2025-05-19 18:00:00,14362.5,14341.106180648383,13302.09350396286,14495.039661326537
